Request Id,prefill_time_execution_plus_preemption_normalized
4,4.8793435869459556e-05
3,4.2607497482137334e-05
5,4.484317685440756e-05
0,5.013533143698011e-05
1,4.88213331650178e-05
10,5.97005955058986e-05
14,5.4263528750746073e-05
6,6.285720943954843e-05
8,5.811782010195939e-05
2,4.810823842732353e-05
15,5.9390994436635304e-05
7,6.758449978586696e-05
24,6.465157233059729e-05
13,5.416674711986876e-05
26,7.371502825442156e-05
11,0.00011274233536167543
16,5.9558474283231085e-05
9,6.0387906343411295e-05
28,6.179131622274136e-05
33,5.995542520268712e-05
19,6.598395711003871e-05
17,5.923075080282499e-05
12,6.671710178482528e-05
20,7.274729416369317e-05
36,6.112257388532182e-05
25,8.81611324757065e-05
22,5.635778620341226e-05
21,5.825618824009524e-05
34,7.135630951587497e-05
32,5.92071953635561e-05
31,6.190762635603224e-05
45,6.878914058027655e-05
37,4.926214061786094e-05
41,6.520214941508118e-05
44,6.253998946807317e-05
42,6.357999840189909e-05
43,5.5621816954481035e-05
29,6.047298568607521e-05
35,6.495324850726609e-05
30,5.594042876498743e-05
47,6.0527489211183436e-05
18,6.708777134932337e-05
57,5.7686052328587226e-05
48,5.785212952476264e-05
23,6.122682434722416e-05
52,5.946143666122773e-05
39,6.264875933033121e-05
27,5.600014138358841e-05
38,5.153326270800013e-05
49,7.21913190644005e-05
56,6.388409981043487e-05
40,4.4024449954248954e-05
63,6.246473860012139e-05
46,6.005360544678877e-05
67,7.017182531762554e-05
51,6.137370320524444e-05
64,6.532966133570665e-05
65,5.0955422025901194e-05
54,6.851539644465575e-05
58,5.627201584498341e-05
73,7.36128411429455e-05
50,8.319089785652485e-05
61,6.0272501773602996e-05
55,7.651933181692642e-05
59,5.7601820693065244e-05
53,7.295582342253841e-05
71,6.293825543114981e-05
66,5.088881926409907e-05
60,6.505050076902028e-05
79,7.018859011333993e-05
70,5.922023568016854e-05
62,6.283082000238311e-05
69,5.850472010345795e-05
84,5.811825241113791e-05
75,7.901202414925331e-05
74,5.8105254258199266e-05
76,6.634735463510331e-05
68,5.5059275211793915e-05
88,6.197269884730909e-05
77,6.43842002320335e-05
72,7.420701079281326e-05
83,6.376848054392304e-05
86,5.43790162869424e-05
78,7.693600377753964e-05
82,6.215876732044947e-05
94,6.706375733123908e-05
80,6.340726304563036e-05
81,5.848222175920201e-05
87,8.290196479366248e-05
85,6.087551309631007e-05
89,6.184258953559684e-05
91,6.636113677326602e-05
90,8.841195009324085e-05
93,7.490932993683425e-05
92,6.76697345466743e-05
102,5.137745648441002e-05
108,6.60066077244902e-05
99,5.7123913872665254e-05
96,7.452146473025385e-05
110,6.814152613537596e-05
95,0.0001127240668281848
113,6.417872419958675e-05
104,6.21961442712294e-05
115,5.634428653288672e-05
114,6.529929280960204e-05
109,6.522603420483726e-05
98,0.00010802457815353
116,6.773523036814009e-05
119,0.00012270782105739598
103,5.560169535930489e-05
112,6.309727408790656e-05
105,5.5875496276523175e-05
97,0.00013986909222009328
107,6.174016609564699e-05
101,5.9464726777461826e-05
121,5.708079703117758e-05
100,5.696063223778022e-05
111,7.333689291440212e-05
106,5.63686893789059e-05
117,6.992855302922205e-05
122,6.384437157798543e-05
118,8.029369253006361e-05
120,6.663326610522562e-05
123,9.996942898011578e-05
126,5.407623560406593e-05
127,4.359077536094961e-05
125,5.67030558508415e-05
124,6.252357931533673e-05
